family,model,implementation,split,MAE,RMSE,MAPE,OPE,R2
baseline,moving_avg_7,numpy,test,28.107738385780117,33.99085431753792,3193693760.596137,38.246264525377924,-0.5485482318551413
baseline,moving_avg_7,numpy,val,32.06043103818301,38.74327550969081,1761806.8706743086,71.27760604273531,-0.8161397624457952
baseline,naive,numpy,test,27.640041645161286,33.657190794277966,12476.71112911927,35.87487718886819,-0.5839098428928998
baseline,naive,numpy,val,29.275235442396312,35.27481146949604,6438598.0323375305,160.03908376248083,-1.2884017891855843
baseline,seasonal_naive_365,numpy,test,38.598202903225804,47.893597264148696,2483274699.010385,47.55793605623499,-2.722095920038652
baseline,seasonal_naive_365,numpy,val,36.02910964516129,44.139796429604054,34893846.63752551,812.9110582983947,-28.852375236217938
baseline,seasonal_naive_7,numpy,test,36.28272487096774,45.148002190916095,2483274699.2660284,41.221317032230765,-1.392540703377637
baseline,seasonal_naive_7,numpy,val,33.030446589861754,41.31826068669833,1494868.5104938634,65.98854980544085,-1.1934214371323653
ml,GradientBoostingRegressor__lag,mlforecast_sklearn,test,28.145584809002457,34.04458847456168,48560593835.63911,112.68890224895593,-4.810442434670522
ml,GradientBoostingRegressor__lag,mlforecast_sklearn,val,28.84817823543518,35.204240086673856,46624570.97002008,1021.5809770040345,-40.328111233402986
ml,GradientBoostingRegressor__lag+calendar,mlforecast_sklearn,test,27.346091473994274,33.46307135401109,67537879458.69698,136.3068096698744,-7.300667935902291
ml,GradientBoostingRegressor__lag+calendar,mlforecast_sklearn,val,28.930551855908412,35.541245249877385,47464991.82468847,1038.1041941751375,-41.98358717675971
ml,GradientBoostingRegressor__lag+statistical,mlforecast_sklearn,test,28.643372370998378,34.33043366210512,59813317393.13786,129.69319874550644,-6.523061748119232
ml,GradientBoostingRegressor__lag+statistical,mlforecast_sklearn,val,29.9058584165353,36.241865605883575,48019159.53395228,1050.5434607459006,-42.29093659697953
ml,RandomForestRegressor__lag,mlforecast_sklearn,test,27.305967450698937,33.42952091224483,13953878196.443056,43.44098162024282,-1.1224258486155534
ml,RandomForestRegressor__lag,mlforecast_sklearn,val,27.070759252788033,33.47017866896258,13055704.579191627,290.59152500996544,-3.22903566543391
ml,RandomForestRegressor__lag+calendar,mlforecast_sklearn,test,28.360125015176656,33.6937306112368,14147725481.956757,44.57671127830432,-1.0865280067277165
ml,RandomForestRegressor__lag+calendar,mlforecast_sklearn,val,28.182850976758854,35.15222469710286,14003086.177660314,310.96732133033646,-3.760256340800806
ml,RandomForestRegressor__lag+statistical,mlforecast_sklearn,test,29.042025688494643,34.9943481163555,11377239742.472591,44.201407796432456,-1.129200336969457
ml,RandomForestRegressor__lag+statistical,mlforecast_sklearn,val,28.161866765552993,34.55834672345008,11005287.608478198,250.07513852838352,-2.421216735880023
neural,NBEATS,neuralforecast,test,31.226552784907927,37.12774398870253,2547275371.8709936,40.0784981929058,-0.6304925039548903
neural,NBEATS,neuralforecast,val,31.697974385545283,38.53230598869984,4288662.940509723,117.3292361059894,-1.0336315783328505
neural,NLinear,neuralforecast,test,30.31120569075742,36.15211258349441,1015043150.7825471,37.72509965334176,-0.9423332683253796
neural,NLinear,neuralforecast,val,28.572757677168482,35.704484575050834,3200266.517553614,97.27653539154576,-0.6139259921141925
statistical,AutoARIMA,statsforecast,test,25.64339375241286,31.52406415696615,1651445885.2448306,34.13920420280037,-0.420888605932315
statistical,AutoARIMA,statsforecast,val,29.048327582027724,35.31906150700007,2141413.0433725347,76.18944610640428,-0.41320042244837385
