Título,Estructura de la generación por tecnologías_01-01-2026_19-01-2026,,,,,,,,,,,,,,,,,,
Sistema eléctrico,Nacional,,,,,,,,,,,,,,,,,,
Magnitudes,GWh,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
Fecha,01/01/2026,02/01/2026,03/01/2026,04/01/2026,05/01/2026,06/01/2026,07/01/2026,08/01/2026,09/01/2026,10/01/2026,11/01/2026,12/01/2026,13/01/2026,14/01/2026,15/01/2026,16/01/2026,17/01/2026,18/01/2026,19/01/2026
Hidráulica,"70,193057","100,36026799999999","95,349003","52,418639000000006","80,69671000000001","61,906701","108,653823","99,64344100000001","57,560714","69,087663","76,411791","94,100543","118,720403","139,80767","110,929987","130,223905","128,675321","114,15974","129,445198"
Nuclear,"170,762712","170,75797","170,767652","170,767367","170,75041099999999","170,679883","170,667802","170,599981","170,51916200000002","170,76237899999998","170,74401","170,709019","170,727823","170,797494","170,80309899999997","164,768359","157,68679","157,999155","161,292078"
Carbón,"0,000004","0,000003","0,000004","0,000004","0,000003","0,000004","0,000003","0,000004","0,000004","0,000003","0,000004","0,000003","0,000004","1,144312","0,000004","0,000003","0,000004","0,000004","0,000003"
Motores diésel,"6,049781","6,533382","6,531839","6,627375","7,010474","5,770225","6,4399809999999995","6,970245","7,210765","6,577623","6,085901","7,1377939999999995","6,751747999999999","6,513621","6,690733","7,015524999999999","6,401362","5,958077","6,579487"
Turbina de gas,"1,792954","1,360395","1,297808","2,042308","1,695135","1,137095","1,630061","1,9832260000000002","2,063656","1,255104","1,561892","2,800566","2,4123","1,779722","1,367861","2,023203","1,595753","1,182058","1,5155239999999999"
Turbina de vapor,"8,75843","10,424896","10,856704","9,076664000000001","9,559657999999999","8,062224","8,995768","9,383974","9,853562","9,107752","8,889963999999999","11,064118","11,585507999999999","10,70167","10,36056","10,954528","11,11455","9,959406000000001","10,827043999999999"
Ciclo combinado,"146,048784","139,82568799999999","141,337475","107,059916","126,762895","112,663612","179,61109299999998","153,410132","117,904842","115,354905","106,218603","148,14219699999998","154,39607199999998","225,96189","153,11938800000001","235,443749","203,561657","157,173563","203,10985399999998"
Hidroeólica,"0,009571999999999999","0,006712","0,006213","0,0127","0,064721","0,093007","0,082365","0,01881","0,009994999999999999","0,031177","0,014033","0,006952","0,037448999999999996","0,091482","0,052529000000000006","0,08805500000000001","0,077501","0,068565","0,11528100000000001"
Eólica,"103,09062","134,443746","142,54979600000001","355,755678","279,54699","294,87434499999995","280,199881","365,95092700000004","455,945274","295,00092700000005","227,975653","209,365278","264,548011","86,984076","217,519627","114,59361299999999","61,231142999999996","60,263964","155,514655"
Solar fotovoltaica,"41,184262000000004","41,629494","37,290738","43,256385","74,25763099999999","113,51309699999999","91,291207","70,18867900000001","77,40418700000001","115,745157","118,270523","108,423661","58,610669","79,70881299999999","70,862001","69,475798","94,713672","108,729203","110,088678"
Solar térmica,"0,13173300000000002","0,00011999999999999999","0,000131","0,133236","0,356555","4,583639","1,302706","1,322579","0,49247399999999997","2,9693560000000003","3,337155","3,116652","0,316621","0,437641","0,674845","0,13869700000000001","0,9640639999999999","2,8405210000000003","4,126254"
Otras renovables,"10,23266","10,433655","10,900491","10,881748","10,346352000000001","10,155912","10,715409","11,260002","9,695288","9,628278","9,481221999999999","9,673977","10,985391","11,694404","11,644229","11,944101","11,70023","11,512906999999998","10,223733"
Cogeneración,"34,572004","42,438193","45,405817000000006","43,809549","44,987636","40,121812","47,289010000000005","47,437602","44,990941","46,545939","47,028828999999995","48,770557000000004","49,249379","52,051756000000005","51,840556","52,086178999999994","51,039379000000004","46,43554","47,030567000000005"
Residuos no renovables,"3,215886","3,1824035","3,135761","2,941914","3,199458","3,2630635000000003","3,130343","3,067969","3,0056345","3,2959475","3,4330974999999997","3,4613614999999998","3,3099035","3,0677105","3,230887","3,365911","3,3876535","3,4113270000000004","3,3017800000000004"
Residuos renovables,"2,5637399999999997","2,5075925000000003","2,543715","2,3677669999999997","2,432073","2,3470825","2,370061","2,309131","2,2099115","2,4178745","2,5161585","2,5418965","2,3830905","2,3307045","2,439698","2,482543","2,4673255","2,521128","2,4512840000000002"
Generación total,"598,6061990000001","663,904518","667,9731470000003","807,15125","811,6667020000001","829,171702","912,379513","943,5467020000001","958,8664100000001","847,7800850000002","781,9688360000001","819,314575","854,034372","793,072966","811,5360039999999","804,604169","734,6164050000001","682,2151580000001","845,6214200000001"
 ,,,,,,,,,,,,,,,,,,,
Notas,,,,,,,,,,,,,,,,,,,
 ,Los datos no incluyen la energía generada estimada por las instalaciones de autoconsumo.,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
Estados,,,,,,,,,,,,,,,,,,,
 ,Provisional: 01/01/2026 - 19/01/2026,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
Fecha exportación,22/01/2026 - 18:05:28,,,,,,,,,,,,,,,,,,
 ,,,,,,,,,,,,,,,,,,,
Fuente,www.ree.es,,,,,,,,,,,,,,,,,,
